Menu Item,Calories,Fat Cal.,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (%),Vitamin C (%),Calcium (%),Iron (%),Vegetarian,Vegan,Contains Peanuts,Contains Tree Nuts,Contains Wheat,Contains Soy,Contains Dairy,Contains Eggs,Contains Shellfish,Contains Fish,Add-On
Sauteed Kale,48,19,2.1,0.3,0,0,70.5,6.7,1.3,0.3,2,174,115,8,6,0,1,0,0,0,0,0,0,0,0,0
Tomatoes,5,0,0,0,0,0,40.5,1.1,0.3,0.7,0.2,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0
Herbed Olive Oil,218,216,23.9,3.3,0,0,76.1,1.5,0.2,0.1,0.3,2,3,1,2,0,1,0,0,0,0,0,0,0,0,1
Pomodoro Sauce,51,45,4.9,0.7,0,0,64.7,1.8,0.4,0.1,0.4,4,4,1,2,0,1,0,0,0,0,0,0,0,0,1
Roasted Cauliflower,10,3,0.3,0,0,0,29.3,1.5,0.7,0.6,0.6,0,23,1,2,0,1,0,0,0,0,0,0,0,0,1
Rose Sauce,34,21,2.3,1.2,0,5.3,85.1,2.3,0.1,1.4,1,2,1,3,0,1,0,0,0,1,0,1,0,0,0,1
Rotini Noodles,99,22,2.5,0.2,0,21.4,28.9,16.1,0,0,2.8,1,0,1,4,0,1,0,0,1,0,0,0,0,0,1
Sauteed Kale,24,10,1.1,0.1,0,0,35.3,3.4,0.6,0.2,1,87,57,4,3,0,1,0,0,0,0,0,0,0,0,1
Sauteed Zucchini,16,7,0.8,0.1,0,0,24.2,1.9,0.5,1.3,0.7,3,18,1,1,0,1,0,0,0,0,0,0,0,0,1
Whole Wheat Penne,43,13,1.4,0.2,0,0,283.5,7,0,0,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Grilled Steak,0,0,0,0,0,0,157.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrimp,76,10,1.1,0,0,128.5,181.4,0,0,0,15.9,3,3,5,8,0,0,0,0,0,0,0,0,1,0,0
Beef Tri Tip,271,172,19,4.5,0,68.9,248.2,2.7,0.1,1.4,22.8,1,3,2,9,0,0,0,0,0,1,0,0,0,0,0
Creamy Polenta,379,208,23,12.7,0.5,59.9,276.1,34.3,0.1,0.2,9.8,16,2,21,5,0,0,0,0,1,1,1,0,0,0,1
Romesco Sauce,165,132,14.6,1.9,0,0,266.3,7.5,1.9,2,1.7,17,15,3,12,0,1,0,1,1,1,0,0,0,0,1
Mix Vegetable Tahini Salad,21,10,1.1,0.2,0,0,24.4,2.7,0.8,1.7,0.8,6,4,2,2,0,1,0,0,0,0,0,0,0,0,0
Horiatika Greek Salad,74,58,6.5,0.9,0,0,149.4,4,0.7,1.5,0.7,4,10,2,2,0,1,0,0,0,0,0,0,0,0,0
Lentil & Roasted Sweet Potato Salad,105,53,5.9,0.8,0,0,180,10.8,3,2.2,2.9,102,10,2,17,0,1,0,0,0,0,0,0,0,0,0
Moroccan CousCous Almond Salad,89,18,2,0.1,0,0,19.2,16.5,3.1,3.9,2.7,50,3,2,5,0,1,0,1,1,0,0,0,0,0,0
Carrot Harissa Hummus,92,68,7.6,1.1,0,0,118.4,5.2,1.6,1.7,1.6,46,4,1,4,1,0,0,0,0,0,0,0,0,0,0
Hummus,65,34,3.7,0.5,0,0,153.5,6.5,1.3,0,1.6,0,3,2,8,0,1,0,0,0,0,0,0,0,0,0
Muhammara (Spicy Roasted Pepper Dip),90,58,6.4,0.8,0,0,131.6,7.6,0.8,1.8,1.4,22,104,1,10,0,1,0,1,1,1,0,0,0,0,0
Tzatziki Sauce,36,24,2.7,2.1,0,4.7,10.6,1.1,0,0.9,1.8,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0
Feta Cheese,75,54,6,4.2,,25.2,316.4,1.2,0,1.2,4,2,0,14,1,1,0,0,0,0,0,1,0,0,0,0
Greek Oregano Tomatoes,8,1,0.1,0,0,0,116.8,1.4,0.3,0.7,0.3,1,5,1,2,0,1,0,0,0,0,0,0,0,0,0
Green Pitted Olives,33,32,3.6,0.4,,0,680.4,0.4,,,0.4,2,0,2,3,0,1,0,0,0,0,0,0,0,0,0
Kalamata Olives,96,92,10.1,1.1,,0,932.1,2.5,,,0.6,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0
Marinated  Olives,48,41,4.5,0.6,0,0,347.1,2,0.6,0.3,0.4,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0
Carbonara Pizza,267,124,13.7,4.9,0,29.4,382.9,24.9,1.2,0.6,13,8,4,14,10,0,0,0,0,1,0,1,1,0,0,0
Cheese Pizza,203,81,9,2.7,0,11.2,249.9,24.5,1.2,0.8,8.1,3,2,8,9,1,0,0,0,1,0,1,0,0,0,0
Pepperoni Pizza,241,112,12.4,3.8,0.1,19.4,378.8,24.5,1.2,0.8,9.9,3,3,9,10,0,0,0,0,1,0,1,0,0,0,0
Caesar Salad,149,102,11.3,2.8,0,10.5,276.9,8.3,1.2,0.9,4.1,54,4,10,4,0,0,0,0,1,1,1,1,0,1,0
Greek Salad,69,56,6.2,0.8,0,0,123,3.3,0.8,1.4,0.5,11,36,1,3,0,1,0,0,0,0,0,0,0,0,0
Blended Burger,386,155,17.2,7.3,0.8,103.1,501.1,32.9,1.8,5.4,24.8,3,2,5,23,0,0,0,0,1,1,1,1,0,0,0
Merguez Spiced Chicken Breast,111,26,2.8,0.7,0,54.2,75.6,0.2,0.1,0,19.8,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0
Merguez Spiced Chicken Sandwich,251,45,5,1.3,0,54.2,315.1,24.9,1.1,3.1,24.6,1,0,8,15,0,0,0,0,1,1,0,0,0,0,0
Crusty Gruyere Grilled Cheese Sandwich w/ Bacon,324,255,28.2,16.6,0.4,78.8,373.9,3.7,0.2,1.3,14.4,17,0,46,2,0,0,0,0,1,0,1,0,0,0,0
Curly Fries,271,130,14.4,2.1,0,0,617.8,32.2,3,0,3.4,0,3,2,6,0,1,0,0,1,0,0,0,0,0,0
Garlic Herb Parmesan Fries,339,180,19.9,3.7,0.1,5.8,356,33.9,3.7,0.3,6.4,3,12,12,7,1,0,0,0,1,0,1,0,0,0,0
Sweet Potato Fries,85,27,3,5,0,0,30,16,1,4,1,260,15,2,2,0,1,0,0,1,0,0,0,0,0,0
Veggie Burger,310,71,7.8,1.2,0.1,1.9,713.1,40.3,8.6,6.8,22,33,10,12,20,0,1,0,0,1,1,0,0,0,0,0
Blondie w/ Walnuts,95,43,4.8,3.2,0.1,15.5,29.8,12.3,0.1,6.3,1,2,0,1,2,1,0,0,1,1,1,1,1,0,0,0
Chocolate Silk Pie,260,154,17.1,7,0.2,53.6,216.5,24.4,0.5,10.4,2.9,7,0,4,4,0,0,0,0,1,1,1,1,0,0,0
Deep Dish S'Mores,426,181,20.1,11.4,0.5,35,341.8,63.9,0.8,23.3,3.7,8,0,2,13,0,0,0,0,1,1,1,0,0,0,0
Double Chocolate Cake,216,90,10,2.7,,27,177.4,30.1,0.8,21.6,2.3,,,,,1,0,0,0,1,1,1,1,0,0,0
Triple Chocolate Chip Cookie,343,155,17.1,5.1,2.6,17.1,197.1,42.9,1.7,27.4,3.4,0,0,0,10,1,0,0,0,1,1,1,1,0,0,0
